x:328865.9319021256 ,y:3356786.8930214876 theta:0.08543881062166707 , speed: 1.9168411702640729, accel: 0.20601104213301635, steering: -0.017698442248015964, dsteering: 0.03206697050809729, odom: 0
x:328866.3180162395 ,y:3356786.925628139 theta:0.08346836252163392 , speed: 1.9581669130604766, accel: 0.2072463858310222, steering: -0.011591512027227156, dsteering: 0.02900233169979079, odom: 0.3874884548954749
x:328866.71244281816 ,y:3356786.958310626 theta:0.08226137786336143 , speed: 1.9994631150819162, accel: 0.20571563438337254, steering: -0.006183223685439946, dsteering: 0.025080551718081306, odom: 0.7832667652241907
x:328867.11509794317 ,y:3356786.9913326553 theta:0.08174039531796053 , speed: 2.0402084906919957, accel: 0.20173812171742103, steering: -0.0016159392542630406, dsteering: 0.02059229259368775, odom: 1.1872737009282415
x:328867.5258024166 ,y:3356787.024930942 theta:0.0818044898401628 , speed: 2.0799416569323106, accel: 0.1955935406857297, steering: 0.0020216702068123304, dsteering: 0.015783802017065963, odom: 1.599350161500989
x:328867.94429335446 ,y:3356787.0593041107 theta:0.08233489981386947 , speed: 2.1182532110837853, accel: 0.18752200082901804, steering: 0.004686107718938867, dsteering: 0.010860573104199392, odom: 2.0192503637011656
x:328868.37023430277 ,y:3356787.094602746 theta:0.08320053384175785 , speed: 2.1547780991351533, accel: 0.17772687968465978, steering: 0.006371113888772881, dsteering: 0.005989488594140746, odom: 2.4466514459345032
x:328868.80322397203 ,y:3356787.130921105 theta:0.08426320475657291 , speed: 2.189356292198997, accel: 0.16805505095377646, steering: 0.007100810151215619, dsteering: 0.0013074740302866285, odom: 2.881161603355227
x:328869.2428704972 ,y:3356787.168296604 theta:0.08538280223894143 , speed: 2.2220327292409605, accel: 0.15870931946585892, steering: 0.006930274538071615, dsteering: -0.003012830161726668, odom: 3.322393962814102
x:328869.6888000494 ,y:3356787.2067068415 theta:0.08642387323557706 , speed: 2.25283699164079, accel: 0.14933330453243737, steering: 0.005922992042598717, dsteering: -0.007059994793002313, odom: 3.7699746950516113
x:328870.1406429716 ,y:3356787.24606752 theta:0.08725412223495156 , speed: 2.2817686987081127, accel: 0.13998376614078897, steering: 0.0041432612723307245, dsteering: -0.010737312909677612, odom: 4.223528759470418
x:328870.5980363651 ,y:3356787.2862314614 theta:0.08774864490162451 , speed: 2.308837696336988, accel: 0.13070621014796624, steering: 0.001671868905483185, dsteering: -0.013976610758797784, odom: 4.682682174534857
x:328871.0606258305 ,y:3356787.326990704 theta:0.08779332458276111 , speed: 2.3340629452315325, accel: 0.12154627879747744, steering: -0.001398360963754188, dsteering: -0.016725687933575942, odom: 5.147063838005214
x:328871.52806682856 ,y:3356787.3680807194 theta:0.08728770409073233 , speed: 2.3574727328586094, accel: 0.1125515974732936, steering: -0.004965200757967018, dsteering: -0.018942710008552358, odom: 5.616307352627469
x:328872.0000257076 ,y:3356787.409186554 theta:0.08614746009582093 , speed: 2.379105087472868, accel: 0.10377194866929346, steering: -0.00891878510618075, dsteering: -0.020593133473584956, odom: 6.090052931148657
x:328872.4761804161 ,y:3356787.449950713 theta:0.08430654601770017 , speed: 2.399008046001664, accel: 0.09525763661866475, steering: -0.013142923823899873, dsteering: -0.02164825370360626, odom: 6.567949387616617
x:328872.956220888 ,y:3356787.489982574 theta:0.08171902941592751 , speed: 2.4171578497634774, accel: 0.08624040099946617, steering: -0.01751631605252269, dsteering: -0.02208566858262192, odom: 7.049656149549323
x:328873.439816536 ,y:3356787.5288665085 theta:0.07836082098309076 , speed: 2.433549475673162, accel: 0.07767585809737967, steering: -0.021912721805848606, dsteering: -0.02187838895063722, odom: 7.534812527522008
x:328873.926652319 ,y:3356787.566177099 theta:0.07423110138530842 , speed: 2.4482727880483295, accel: 0.06955726565429518, steering: -0.02620251014530575, dsteering: -0.021019494443934195, odom: 8.023075939818588
x:328874.41642649897 ,y:3356787.6014918974 theta:0.06935303258534808 , speed: 2.4614184404789508, accel: 0.06189925865191816, steering: -0.030255746326976377, dsteering: -0.019512867372772077, odom: 8.51412164274134
x:328874.9088494782 ,y:3356787.634404684 theta:0.06377395644190742 , speed: 2.473176204293248, accel: 0.05567837949105624, steering: -0.03394482619671483, dsteering: -0.017377931324612475, odom: 9.007643316010169
x:328875.4036814482 ,y:3356787.6645410825 theta:0.057564437984258296 , speed: 2.4836772907736906, accel: 0.04933248531336835, steering: -0.0371476763821304, dsteering: -0.014650570529543265, odom: 9.50339212445864
x:328875.9006692788 ,y:3356787.691566864 theta:0.05081778255918297 , speed: 2.4930897180576346, accel: 0.044791787526071304, steering: -0.039752406005186466, dsteering: -0.011396725701017399, odom: 10.001114232319646
x:328876.39962347323 ,y:3356787.715204284 theta:0.043646712518088174 , speed: 2.501760517909087, accel: 0.041916210988453176, steering: -0.041662042303391586, dsteering: -0.007699637281033776, odom: 10.500628011681695
x:328876.9004132535 ,y:3356787.735240274 theta:0.03618029577022569 , speed: 2.5096810065258395, accel: 0.0372886751790712, steering: -0.042799141928003, dsteering: -0.00367135896508034, odom: 11.001818439483282
x:328877.40283125476 ,y:3356787.7515289146 theta:0.02856191077838749 , speed: 2.5167860817286125, accel: 0.03376207684866076, steering: -0.04311097682068942, dsteering: 0.0005530100382161521, odom: 11.504500414292032
x:328877.90670931374 ,y:3356787.764003701 theta:0.020942655322314964 , speed: 2.5232985658443594, accel: 0.031362764308806974, steering: -0.042577929582780324, dsteering: 0.004777462340874828, odom: 12.008532872174728
x:328878.41192179674 ,y:3356787.7726793867 theta:0.013474146196477285 , speed: 2.5294456352944397, accel: 0.030107930191995296, steering: -0.04123240028804812, dsteering: 0.008677830606447185, odom: 12.513819840629775
x:328878.9183886983 ,y:3356787.7776492997 theta:0.0062967997243362946 , speed: 2.535429478765633, accel: 0.029730504519939166, steering: -0.039202813746516435, dsteering: 0.0116180348088697, odom: 13.020311126292503
x:328879.42606720346 ,y:3356787.7790745776 theta:-0.0004828496236322678 , speed: 2.5412921716260954, accel: 0.028896424084683167, steering: -0.03672582047587288, dsteering: 0.0131518978975658, odom: 13.527991632136029
x:328879.9348999711 ,y:3356787.7771618175 theta:-0.006807674673752646 , speed: 2.5469381662933275, accel: 0.027563522587638077, steering: -0.03408884326263753, dsteering: 0.01321787423478771, odom: 14.036827994942941
x:328880.4448141109 ,y:3356787.772136325 theta:-0.012672649835718124 , speed: 2.5523533463810684, accel: 0.0265882782897715, steering: -0.03155421160089711, dsteering: 0.012128442382616504, odom: 14.54676689865336
x:328880.955755167 ,y:3356787.764216378 theta:-0.018114499717169323 , speed: 2.557571904420332, accel: 0.02559730210286563, steering: -0.029292447412007743, dsteering: 0.010489199506277157, odom: 15.057769333495369
x:328881.4676713326 ,y:3356787.7535956977 theta:-0.023190035201994568 , speed: 2.5626072444650836, accel: 0.024756098344646354, steering: -0.027342038258216707, dsteering: 0.009014892031633215, odom: 15.569795660421493
x:328881.9805191615 ,y:3356787.7404387086 theta:-0.027950597191678986 , speed: 2.5675169871962096, accel: 0.02434132896661403, steering: -0.025602875491120492, dsteering: 0.008376735639328942, odom: 16.0828122312814
